"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"SOT323";1;"TVS_DIODE_ESD";;;
2;"Q1";"SOT23";1;"PNP";;;
3;"C2";"SM0603_Capa";1;"10uF";;;
4;"C1";"SM0603_Capa";1;"100nF";;;
5;"R1,R2";"SM0603";2;"10k";;;
6;"R5,R6,R7";"SM0603";3;"330";;;
7;"R4";"SM0603";1;"1M";;;
8;"R3";"SM0603";1;"820";;;
9;"RP1";"RP";1;"10k";;;
10;"P6";"metal_shield";1;"Metal Shield";;;
11;"D2";"LED-0603-Symbol";1;"GREEN LED";;;
12;"D3";"LED-0603-Symbol";1;"RED LED";;;
13;"P5";"grove_4_vertical";1;"IR LED";;;
14;"P4";"grove_4_vertical";1;"GROVE";;;
15;"P3";"grove_4_vertical";1;"RGB HEX";;;
16;"P2";"grove_4_vertical";1;"Button";;;
17;"P1";"grove_4_vertical";1;"IR Rec";;;
18;"BT1";"Bluetooth_Module";1;"BLUETOOTH_MODULE";;;
19;"P9,P7";"SIL-5";2;"CONN_5";;;
20;"P8";"SIL-4";1;"CONN_4";;;
21;"Q2";"Si5904";1;"MOS_DUAL";;;
22;"C3";"SM0603_Capa";1;"0.1uF";;;
23;"R8";"SM0603";1;"200";;;
